"","X1","X1_1","pid","condition","correct_button","rw","rt","response","age","grade","gender","condition_id","trial_accuracy","timepoint","School.Year","time","max","min","norm"
"1",6740,6763,"ADMIN-UCSF-bo028","BOXED_Feature_4","correct",1370,370.878040790558,1,8,3,"M",21,NA,1,2017,2016-11-08,1390,190,0.983333333333333
"2",6741,6764,"ADMIN-UCSF-bo028","BOXED_Feature_12","correct",1350,665.767967700958,1,8,3,"M",13,NA,1,2017,2016-11-08,1350,360,1
"3",6742,6765,"ADMIN-UCSF-bo028","BOXED_Feature_12","correct",1070,680.916011333466,1,8,3,"M",20,NA,1,2017,2016-11-08,1350,360,0.717171717171717
"4",6743,6766,"ADMIN-UCSF-bo028","BOXED_Feature_12","correct",990,780.526995658875,1,8,3,"M",24,NA,1,2017,2016-11-08,1350,360,0.636363636363636
"5",6744,6767,"ADMIN-UCSF-bo028","BOXED_Conjunction_4","correct",1250,789.223968982697,1,8,3,"M",24,NA,1,2017,2016-11-08,1890,190,0.623529411764706
"6",6745,6768,"ADMIN-UCSF-bo028","BOXED_Feature_12","correct",1330,847.604990005493,1,8,3,"M",9,NA,1,2017,2016-11-08,1350,360,0.97979797979798
"7",6746,6769,"ADMIN-UCSF-bo028","BOXED_Feature_4","correct",1360,852.249979972839,1,8,3,"M",22,NA,1,2017,2016-11-08,1390,190,0.975
"8",6747,6770,"ADMIN-UCSF-bo028","BOXED_Conjunction_4","correct",1360,865.859985351562,1,8,3,"M",10,NA,1,2017,2016-11-08,1890,190,0.688235294117647
"9",6748,6771,"ADMIN-UCSF-bo028","BOXED_Feature_12","correct",1340,868.900001049042,1,8,3,"M",14,NA,1,2017,2016-11-08,1350,360,0.98989898989899
"10",6749,6772,"ADMIN-UCSF-bo028","BOXED_Feature_4","correct",1080,872.00403213501,1,8,3,"M",3,NA,1,2017,2016-11-08,1390,190,0.741666666666667
"11",6750,6773,"ADMIN-UCSF-bo028","BOXED_Feature_12","correct",1030,913.86204957962,1,8,3,"M",23,NA,1,2017,2016-11-08,1350,360,0.676767676767677
"12",6751,6774,"ADMIN-UCSF-bo028","BOXED_Feature_4","correct",1390,920.166015625,1,8,3,"M",24,NA,1,2017,2016-11-08,1390,190,1
"13",6752,6775,"ADMIN-UCSF-bo028","BOXED_Conjunction_4","correct",1350,921.117007732391,1,8,3,"M",15,NA,1,2017,2016-11-08,1890,190,0.682352941176471
"14",6753,6776,"ADMIN-UCSF-bo028","BOXED_Feature_4","correct",1220,937.597990036011,1,8,3,"M",17,NA,1,2017,2016-11-08,1390,190,0.858333333333333
"15",6754,6777,"ADMIN-UCSF-bo028","BOXED_Feature_4","correct",1150,939.828038215637,1,8,3,"M",6,NA,1,2017,2016-11-08,1390,190,0.8
"16",6755,6778,"ADMIN-UCSF-bo028","BOXED_Feature_4","correct",1140,953.220963478088,1,8,3,"M",11,NA,1,2017,2016-11-08,1390,190,0.791666666666667
"17",6756,6779,"ADMIN-UCSF-bo028","BOXED_Feature_12","correct",1330,959.717988967896,1,8,3,"M",15,NA,1,2017,2016-11-08,1350,360,0.97979797979798
